id,order_id,entity,amount,currency,status,method,captured,email,contact,customer_id,bank,error_code,error_description,error_source,error_step,error_reason,root_cause,created_at,attempt_number,previous_success_rate,previous_failure_rate,upi_success_rate,card_success_rate,time_since_last_attempt_min,hour,day_of_week,checkout_duration_sec,customer_value_tier,recovered,recovery_action
pay_00000000000000,order_00000000000000,payment,738508,INR,failed,upi,False,customer0@example.com,+919810872248,cust_0000000000,,SERVER_ERROR,The service was temporarily unavailable.,gateway,payment_processing,internal_error,NETWORK_TIMEOUT,1787961267,1,0.688,0.312,0.671,0.799,0,13,1,244,mid,1,retry
pay_00000000000001,order_00000000000001,payment,92357,INR,failed,upi,False,customer1@example.com,+919848840994,cust_0000000001,,GATEWAY_ERROR,UPI payment was declined by the customer's bank/PSP app.,bank,payment_authorization,upi_declined,UPI_FAILURE,1788296255,4,0.721,0.279,0.902,0.532,188,6,5,50,low,0,escalate
pay_00000000000002,order_00000000000002,payment,80589,INR,failed,netbanking,False,customer2@example.com,+919817507864,cust_0000000002,ICIC,SERVER_ERROR,The service was temporarily unavailable.,gateway,payment_processing,internal_error,NETWORK_TIMEOUT,1788496288,1,0.588,0.412,0.657,0.493,0,7,5,181,low,1,retry
pay_00000000000003,order_00000000000003,payment,762982,INR,failed,upi,False,customer3@example.com,+919822201654,cust_0000000003,,GATEWAY_ERROR,UPI payment was declined by the customer's bank/PSP app.,bank,payment_authorization,upi_declined,UPI_FAILURE,1788433306,2,0.358,0.642,0.355,0.434,567,12,2,127,mid,1,retry
pay_00000000000004,order_00000000000004,payment,713054,INR,failed,card,False,customer4@example.com,+919845351479,cust_0000000004,KKBK,GATEWAY_ERROR,Payment failed because of insufficient funds in the account.,customer,payment_authorization,insufficient_funds,CARD_FAILURE,1787881606,3,0.361,0.639,0.249,0.462,648,3,2,237,mid,1,escalate
pay_00000000000005,order_00000000000005,payment,170422,INR,failed,card,False,customer5@example.com,+919820570592,cust_0000000005,HDFC,GATEWAY_ERROR,Payment failed because of insufficient funds in the account.,customer,payment_authorization,insufficient_funds,CARD_FAILURE,1786592535,3,0.494,0.506,0.376,0.528,987,9,1,44,mid,0,escalate
pay_00000000000006,order_00000000000006,payment,2879583,INR,failed,netbanking,False,customer6@example.com,+919840885476,cust_0000000006,KKBK,BAD_REQUEST_ERROR,Authentication failed due to incorrect otp.,customer,payment_authentication,incorrect_otp,USER_ABANDONMENT,1787707268,1,0.422,0.578,0.286,0.524,0,2,2,25,high,0,send_reminder
pay_00000000000007,order_00000000000007,payment,594154,INR,failed,card,False,customer7@example.com,+919896728778,cust_0000000007,HDFC,GATEWAY_ERROR,Payment was flagged and declined by risk checks.,business,payment_authorization,risk_check_failed,RETRY_LIMIT,1788376699,1,0.683,0.317,0.527,0.858,0,23,0,359,mid,0,retry
pay_00000000000008,order_00000000000008,payment,1224365,INR,failed,upi,False,customer8@example.com,+919832321899,cust_0000000008,,SERVER_ERROR,The service was temporarily unavailable.,gateway,payment_processing,internal_error,NETWORK_TIMEOUT,1786926302,1,0.745,0.255,0.823,0.583,0,0,0,400,high,1,retry
pay_00000000000009,order_00000000000009,payment,349122,INR,failed,upi,False,customer9@example.com,+919852091325,cust_0000000009,,BAD_REQUEST_ERROR,Authentication failed due to incorrect otp.,customer,payment_authentication,incorrect_otp,USER_ABANDONMENT,1788391158,2,0.841,0.159,0.91,0.672,2221,1,4,391,mid,1,send_reminder
pay_00000000000010,order_00000000000010,payment,423432,INR,failed,card,False,customer10@example.com,+919850264926,cust_0000000010,UTIB,GATEWAY_ERROR,Payment failed because of insufficient funds in the account.,customer,payment_authorization,insufficient_funds,CARD_FAILURE,1787304783,2,0.554,0.446,0.476,0.716,537,7,2,217,mid,0,retry
pay_00000000000011,order_00000000000011,payment,467212,INR,failed,wallet,False,customer11@example.com,+919828024248,cust_0000000011,,SERVER_ERROR,The service was temporarily unavailable.,gateway,payment_processing,internal_error,NETWORK_TIMEOUT,1787521676,1,0.645,0.355,0.769,0.572,0,9,5,68,mid,0,retry
pay_00000000000012,order_00000000000012,payment,3120961,INR,failed,card,False,customer12@example.com,+919831687165,cust_0000000012,PUNB,GATEWAY_ERROR,Payment was declined by the issuing bank/gateway.,gateway,payment_authorization,payment_declined,BANK_DECLINE,1786777734,3,0.558,0.442,0.375,0.743,2610,0,2,81,high,0,escalate
pay_00000000000013,order_00000000000013,payment,191832,INR,failed,upi,False,customer13@example.com,+919885146293,cust_0000000013,,BAD_REQUEST_ERROR,Authentication failed due to incorrect otp.,customer,payment_authentication,incorrect_otp,USER_ABANDONMENT,1786926456,3,0.851,0.149,0.921,0.819,422,21,1,356,mid,1,escalate
pay_00000000000014,order_00000000000014,payment,111917,INR,failed,emi,False,customer14@example.com,+919871780854,cust_0000000014,,GATEWAY_ERROR,Payment was declined by the issuing bank/gateway.,gateway,payment_authorization,payment_declined,BANK_DECLINE,1787164353,1,0.641,0.359,0.734,0.5,0,15,1,117,low,0,retry
pay_00000000000015,order_00000000000015,payment,2297935,INR,failed,upi,False,customer15@example.com,+919856397338,cust_0000000015,,GATEWAY_ERROR,UPI payment was declined by the customer's bank/PSP app.,bank,payment_authorization,upi_declined,UPI_FAILURE,1787315268,1,0.818,0.182,0.906,0.633,0,8,0,70,high,1,retry
pay_00000000000016,order_00000000000016,payment,1845432,INR,failed,upi,False,customer16@example.com,+919849682169,cust_0000000016,,BAD_REQUEST_ERROR,Customer did not complete OTP authentication in time.,customer,payment_authentication,otp_timeout,USER_ABANDONMENT,1786305552,3,0.496,0.504,0.532,0.473,1673,16,2,356,high,1,escalate
pay_00000000000017,order_00000000000017,payment,374082,INR,failed,card,False,customer17@example.com,+919893115778,cust_0000000017,SBIN,GATEWAY_ERROR,Payment was unsuccessful due to a temporary issue.,gateway,payment_processing,gateway_timeout,NETWORK_TIMEOUT,1788239232,2,0.626,0.374,0.383,0.854,2112,21,0,160,mid,1,retry
pay_00000000000018,order_00000000000018,payment,552630,INR,failed,card,False,customer18@example.com,+919824305904,cust_0000000018,UTIB,GATEWAY_ERROR,The card used for payment has expired.,customer,payment_authorization,card_expired,CARD_FAILURE,1787713040,1,0.411,0.589,0.74,0.167,0,7,1,350,mid,0,switch_to_upi
pay_00000000000019,order_00000000000019,payment,316889,INR,failed,card,False,customer19@example.com,+919879967676,cust_0000000019,UTIB,GATEWAY_ERROR,Payment was flagged and declined by risk checks.,business,payment_authorization,risk_check_failed,RETRY_LIMIT,1787627457,2,0.445,0.555,0.111,0.778,2612,8,6,141,mid,0,retry
pay_00000000000020,order_00000000000020,payment,638557,INR,failed,card,False,customer20@example.com,+919888393811,cust_0000000020,PUNB,GATEWAY_ERROR,Payment was declined by the issuing bank/gateway.,gateway,payment_authorization,payment_declined,BANK_DECLINE,1788549004,1,0.622,0.378,0.339,0.863,0,6,6,230,mid,1,retry
pay_00000000000021,order_00000000000021,payment,77125,INR,failed,card,False,customer21@example.com,+919832151928,cust_0000000021,UTIB,GATEWAY_ERROR,The card used for payment has expired.,customer,payment_authorization,card_expired,CARD_FAILURE,1788095617,1,0.734,0.266,0.944,0.504,0,10,5,362,low,0,switch_to_upi
pay_00000000000022,order_00000000000022,payment,2916206,INR,failed,emi,False,customer22@example.com,+919856970882,cust_0000000022,,GATEWAY_ERROR,Payment failed due to a temporary issue at the bank's end.,bank,payment_authorization,bank_server_error,NETWORK_TIMEOUT,1787690471,1,0.409,0.591,0.474,0.354,0,15,0,398,high,1,retry
pay_00000000000023,order_00000000000023,payment,785324,INR,failed,upi,False,customer23@example.com,+919887282128,cust_0000000023,,GATEWAY_ERROR,Payment was unsuccessful due to a temporary issue.,gateway,payment_processing,gateway_timeout,NETWORK_TIMEOUT,1787056775,2,0.447,0.553,0.697,0.253,106,9,0,311,mid,0,retry
pay_00000000000024,order_00000000000024,payment,708623,INR,failed,card,False,customer24@example.com,+919866379329,cust_0000000024,UTIB,GATEWAY_ERROR,Payment failed because of insufficient funds in the account.,customer,payment_authorization,insufficient_funds,CARD_FAILURE,1788188264,4,0.393,0.607,0.713,0.148,1398,2,4,346,mid,1,escalate
pay_00000000000025,order_00000000000025,payment,771254,INR,failed,card,False,customer25@example.com,+919842730796,cust_0000000025,UTIB,GATEWAY_ERROR,Payment failed because of insufficient funds in the account.,customer,payment_authorization,insufficient_funds,CARD_FAILURE,1786240804,2,0.547,0.453,0.735,0.275,1143,7,6,59,mid,0,switch_to_upi
pay_00000000000026,order_00000000000026,payment,114381,INR,failed,upi,False,customer26@example.com,+919870152969,cust_0000000026,,SERVER_ERROR,The service was temporarily unavailable.,gateway,payment_processing,internal_error,NETWORK_TIMEOUT,1788558603,3,0.543,0.457,0.846,0.337,2646,7,5,258,low,1,escalate
pay_00000000000027,order_00000000000027,payment,52951,INR,failed,card,False,customer27@example.com,+919834850391,cust_0000000027,ICIC,BAD_REQUEST_ERROR,Authentication failed due to incorrect otp.,customer,payment_authentication,incorrect_otp,USER_ABANDONMENT,1787723344,2,0.597,0.403,0.451,0.776,2195,10,0,395,low,0,send_reminder
pay_00000000000028,order_00000000000028,payment,58290,INR,failed,upi,False,customer28@example.com,+919869118721,cust_0000000028,,GATEWAY_ERROR,Payment failed due to a temporary issue at the bank's end.,bank,payment_authorization,bank_server_error,NETWORK_TIMEOUT,1787201902,1,0.479,0.521,0.536,0.497,0,0,4,160,low,1,retry
pay_00000000000029,order_00000000000029,payment,52530,INR,failed,upi,False,customer29@example.com,+919861053474,cust_0000000029,,GATEWAY_ERROR,UPI payment was declined by the customer's bank/PSP app.,bank,payment_authorization,upi_declined,UPI_FAILURE,1786741332,2,0.406,0.594,0.22,0.662,925,19,6,331,low,0,retry
pay_00000000000030,order_00000000000030,payment,51439,INR,failed,wallet,False,customer30@example.com,+919873070585,cust_0000000030,,GATEWAY_ERROR,Payment was unsuccessful due to a temporary issue.,gateway,payment_processing,gateway_timeout,NETWORK_TIMEOUT,1787409296,1,0.451,0.549,0.436,0.44,0,0,3,245,low,1,retry
pay_00000000000031,order_00000000000031,payment,27816,INR,failed,upi,False,customer31@example.com,+919868942178,cust_0000000031,,GATEWAY_ERROR,UPI payment was declined by the customer's bank/PSP app.,bank,payment_authorization,upi_declined,UPI_FAILURE,1788109349,1,0.699,0.301,0.532,0.936,0,23,6,306,low,0,retry
pay_00000000000032,order_00000000000032,payment,108381,INR,failed,upi,False,customer32@example.com,+919897444123,cust_0000000032,,BAD_REQUEST_ERROR,Customer did not complete OTP authentication in time.,customer,payment_authentication,otp_timeout,USER_ABANDONMENT,1786776082,1,0.543,0.457,0.805,0.26,0,18,0,104,low,1,send_reminder
pay_00000000000033,order_00000000000033,payment,569904,INR,failed,wallet,False,customer33@example.com,+919864247457,cust_0000000033,,GATEWAY_ERROR,Payment was flagged and declined by risk checks.,business,payment_authorization,risk_check_failed,RETRY_LIMIT,1786472553,1,0.342,0.658,0.285,0.328,0,2,2,144,mid,0,retry
pay_00000000000034,order_00000000000034,payment,57752,INR,failed,netbanking,False,customer34@example.com,+919831257157,cust_0000000034,SBIN,GATEWAY_ERROR,Payment failed due to a temporary issue at the bank's end.,bank,payment_authorization,bank_server_error,NETWORK_TIMEOUT,1786320540,1,0.234,0.766,0.049,0.509,0,0,5,326,low,0,retry
pay_00000000000035,order_00000000000035,payment,44983,INR,failed,card,False,customer35@example.com,+919878147397,cust_0000000035,SBIN,GATEWAY_ERROR,Payment failed due to a temporary issue at the bank's end.,bank,payment_authorization,bank_server_error,NETWORK_TIMEOUT,1788620167,1,0.688,0.312,0.645,0.737,0,8,6,227,low,1,retry
pay_00000000000036,order_00000000000036,payment,551574,INR,failed,card,False,customer36@example.com,+919861167978,cust_0000000036,UTIB,GATEWAY_ERROR,The card used for payment has expired.,customer,payment_authorization,card_expired,CARD_FAILURE,1787992951,1,0.627,0.373,0.598,0.691,0,1,2,396,mid,1,switch_to_upi
pay_00000000000037,order_00000000000037,payment,427896,INR,failed,upi,False,customer37@example.com,+919854099326,cust_0000000037,,GATEWAY_ERROR,UPI payment was declined by the customer's bank/PSP app.,bank,payment_authorization,upi_declined,UPI_FAILURE,1786392752,1,0.456,0.544,0.476,0.406,0,22,3,347,mid,1,retry
pay_00000000000038,order_00000000000038,payment,464012,INR,failed,upi,False,customer38@example.com,+919867805802,cust_0000000038,,GATEWAY_ERROR,Payment was declined by the issuing bank/gateway.,gateway,payment_authorization,payment_declined,BANK_DECLINE,1788020363,3,0.583,0.417,0.551,0.589,1202,10,6,43,mid,0,escalate
